country_name,id,owid_country,year,value,unit,category,sheet
usa,1996,776,1990,28.479013055185384,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Canada,1540,595,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Mexico,1818,692,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Argentina,1474,569,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Brazil,1527,589,1990,115.89897554724139,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Colombia,1590,605,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Austria,1484,574,1990,0.11809362556336853,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Belgium,1487,577,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Finland,1631,627,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
France,1640,630,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Germany,1608,614,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Italy,1727,663,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Netherlands,1855,714,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Poland,1872,726,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Portugal,1880,729,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Spain,1628,624,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Sweden,1940,755,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
United Kingdom,1654,635,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Australia,1482,573,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
China,1549,599,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
India,1713,657,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Indonesia,1711,656,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
South Korea,1758,673,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Thailand,1953,762,1990,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
usa,1996,776,1991,32.999491343306914,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Canada,1540,595,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Mexico,1818,692,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Argentina,1474,569,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Brazil,1527,589,1991,129.42287059286437,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Colombia,1590,605,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Austria,1484,574,1991,0.12934063752178457,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Belgium,1487,577,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Finland,1631,627,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
France,1640,630,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Germany,1608,614,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Italy,1727,663,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Netherlands,1855,714,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Poland,1872,726,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Portugal,1880,729,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Spain,1628,624,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
Sweden,1940,755,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
United Kingdom,1654,635,1991,0,thousand_b_doe,biofuels_production_kboed,Biofuels Production - Kboed
