country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Mexico,1818,692,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
usa,1996,776,1990,1519.2842237821983,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Argentina,1474,569,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Brazil,1527,589,1990,6182.920902498826,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Colombia,1590,605,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Austria,1484,574,1990,6.3,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Belgium,1487,577,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Finland,1631,627,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
France,1640,630,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Germany,1608,614,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Italy,1727,663,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Netherlands,1855,714,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Poland,1872,726,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Portugal,1880,729,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Spain,1628,624,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Sweden,1940,755,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
United Kingdom,1654,635,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Australia,1482,573,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
China,1549,599,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
India,1713,657,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Indonesia,1711,656,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
South Korea,1758,673,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Thailand,1953,762,1990,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Canada,1540,595,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Mexico,1818,692,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
usa,1996,776,1991,1760.4404511340626,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Argentina,1474,569,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Brazil,1527,589,1991,6904.386928975475,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Colombia,1590,605,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Austria,1484,574,1991,6.9,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Belgium,1487,577,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Finland,1631,627,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
France,1640,630,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Germany,1608,614,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Italy,1727,663,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Netherlands,1855,714,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Poland,1872,726,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Portugal,1880,729,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Spain,1628,624,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Sweden,1940,755,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
United Kingdom,1654,635,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Australia,1482,573,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
China,1549,599,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
India,1713,657,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Indonesia,1711,656,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
South Korea,1758,673,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Thailand,1953,762,1991,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Canada,1540,595,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Mexico,1818,692,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
usa,1996,776,1992,2001.59667848592,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Argentina,1474,569,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Brazil,1527,589,1992,6316.0485621463085,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Colombia,1590,605,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Austria,1484,574,1992,7.7,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Belgium,1487,577,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Finland,1631,627,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
France,1640,630,1992,2.257,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Germany,1608,614,1992,4.443,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Italy,1727,663,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Netherlands,1855,714,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Poland,1872,726,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Portugal,1880,729,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Spain,1628,624,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Sweden,1940,755,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
United Kingdom,1654,635,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Australia,1482,573,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
China,1549,599,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
India,1713,657,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Indonesia,1711,656,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
South Korea,1758,673,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Thailand,1953,762,1992,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Canada,1540,595,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Mexico,1818,692,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
usa,1996,776,1993,2345.627141772169,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Argentina,1474,569,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Brazil,1527,589,1993,6116.893877754305,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Colombia,1590,605,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Austria,1484,574,1993,8.7,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Belgium,1487,577,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Finland,1631,627,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
France,1640,630,1993,25.14,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Germany,1608,614,1993,4.443,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Italy,1727,663,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Netherlands,1855,714,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Poland,1872,726,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Portugal,1880,729,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Spain,1628,624,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Sweden,1940,755,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
United Kingdom,1654,635,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Australia,1482,573,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
China,1549,599,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
India,1713,657,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Indonesia,1711,656,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
South Korea,1758,673,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Thailand,1953,762,1993,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Canada,1540,595,1994,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Mexico,1818,692,1994,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
usa,1996,776,1994,2619.158468703469,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Argentina,1474,569,1994,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Brazil,1527,589,1994,6717.041956326423,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Colombia,1590,605,1994,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Austria,1484,574,1994,5.8,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Belgium,1487,577,1994,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Finland,1631,627,1994,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
France,1640,630,1994,81.63600000000001,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Germany,1608,614,1994,24.878,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Italy,1727,663,1994,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Netherlands,1855,714,1994,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Poland,1872,726,1994,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Portugal,1880,729,1994,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
Spain,1628,624,1994,0,thousand_tonnes_oil_equivalent,biofuels_production_ktoe,Biofuels Production - Ktoe
