country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1981,40.088,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Mexico,1818,692,1981,3.0323314749453276,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
usa,1996,776,1981,747.3160762424999,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Brazil,1527,589,1981,5.689,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Colombia,1590,605,1981,3.9904,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Venezuela,2016,780,1981,0.05,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Bulgaria,1500,581,1981,29.24,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Czech Republic,1604,613,1981,117.72,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Germany,1608,614,1981,492.79999999999995,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Greece,1681,644,1981,27.32,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Hungary,1710,655,1981,25.942181,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Poland,1872,726,1981,198.64000000000001,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Romania,1893,735,1981,39.564,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Spain,1628,624,1981,35.676,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Turkey,1975,769,1981,21.005999999999997,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Ukraine,1993,774,1981,0,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
United Kingdom,1654,635,1981,127.46900000000001,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
USSR,2265,736,1981,778.147,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
South Africa,2052,788,1981,130.42,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Zimbabwe,2056,790,1981,2.87,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Australia,1482,573,1981,128.519,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
China,1549,599,1981,621.6,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
India,1713,657,1981,130.1,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Indonesia,1711,656,1981,0.4,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Japan,1732,666,1981,17.69,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Mongolia,1832,699,1981,4.3,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
New Zealand,1861,718,1981,2.196894,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Pakistan,1864,720,1981,1.56,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
South Korea,1758,673,1981,19.865000000000002,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Thailand,1953,762,1981,1.686044,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Vietnam,2033,783,1981,6,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Canada,1540,595,1982,42.907000000000004,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
Mexico,1818,692,1982,3.751215811153324,million_tonnes,coal_production_tonnes,Coal Production - Tonnes
