country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1985,79.445,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Mexico,1818,692,1985,3.8643408087280284,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
usa,1996,776,1985,1507.6646505376339,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Argentina,1474,569,1985,0.607,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Brazil,1527,589,1985,4.944946311407768,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Germany,1608,614,1985,312.88,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Italy,1727,663,1985,30.023,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Netherlands,1855,714,1985,14.833,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Poland,1872,726,1985,131.52095,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Spain,1628,624,1985,54.605,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Turkey,1975,769,1985,15.0278,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Ukraine,1993,774,1985,111.90635022041303,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
United Kingdom,1654,635,1985,177.163,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Kazakhstan,1733,667,1985,59.0680047335508,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Russian Federation,1896,736,1985,138.3526324037375,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Iran,1716,659,1985,0.088,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Saudi Arabia,1898,738,1985,0,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
United Arab Emirates,1465,568,1985,0,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Egypt,1620,621,1985,0,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
South Africa,2052,788,1985,135.403,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Australia,1482,573,1985,89.374,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
China,1549,599,1985,260.645443,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
India,1713,657,1985,116.039,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Indonesia,1711,656,1985,5.211961603332353,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Japan,1732,666,1985,99.33412584717328,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Malaysia,1844,706,1985,0,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
South Korea,1758,673,1985,22.298779999999997,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Taiwan,1979,771,1985,13.909510000000001,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Thailand,1953,762,1985,5.313,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Vietnam,2033,783,1985,2.304,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Canada,1540,595,1986,71.627,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Mexico,1818,692,1986,6.357302104078276,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
usa,1996,776,1986,1490.1413462365576,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Argentina,1474,569,1986,1.013,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Brazil,1527,589,1986,6.184230601132685,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Germany,1608,614,1986,315.312,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Italy,1727,663,1986,31.004,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Netherlands,1855,714,1986,15.138,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Poland,1872,726,1986,134.28099,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Spain,1628,624,1986,54.808,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Turkey,1975,769,1986,19.4373,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Ukraine,1993,774,1986,118.01613250218227,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
United Kingdom,1654,635,1986,201.361,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Kazakhstan,1733,667,1986,62.37638794351918,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Russian Federation,1896,736,1986,144.03875623287848,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Iran,1716,659,1986,0.087,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Saudi Arabia,1898,738,1986,0,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
United Arab Emirates,1465,568,1986,0,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Egypt,1620,621,1986,0,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
South Africa,2052,788,1986,135.988,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Australia,1482,573,1986,92.587,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
China,1549,599,1986,299.6103564,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
India,1713,657,1986,129.902,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Indonesia,1711,656,1986,5.34905328937226,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Japan,1732,666,1986,98.77428028871363,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Malaysia,1844,706,1986,0,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
South Korea,1758,673,1986,23.204998999999997,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Taiwan,1979,771,1986,19.743084,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Thailand,1953,762,1986,5.54128,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Vietnam,2033,783,1986,2.657,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Canada,1540,595,1987,84.238,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Mexico,1818,692,1987,7.312352065113863,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
usa,1996,776,1987,1573.9583752688175,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Argentina,1474,569,1987,1.016,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Brazil,1527,589,1987,5.4099815477750814,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Germany,1608,614,1987,308.479,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Italy,1727,663,1987,33.035,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Netherlands,1855,714,1987,16.948,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Poland,1872,726,1987,139.58713,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Spain,1628,624,1987,54.724,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Turkey,1975,769,1987,17.6535,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Ukraine,1993,774,1987,119.16994288121153,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
United Kingdom,1654,635,1987,209.924,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Kazakhstan,1733,667,1987,64.27599922388612,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Russian Federation,1896,736,1987,149.59335496424282,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Iran,1716,659,1987,0.085,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Saudi Arabia,1898,738,1987,0,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
United Arab Emirates,1465,568,1987,0,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Egypt,1620,621,1987,0,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
South Africa,2052,788,1987,142.773,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Australia,1482,573,1987,100.348,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
China,1549,599,1987,339.86171979999995,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
India,1713,657,1987,152.8,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Indonesia,1711,656,1987,6.183137463519304,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Japan,1732,666,1987,107.33318848186522,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Malaysia,1844,706,1987,0,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
South Korea,1758,673,1987,22.114959000000002,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Taiwan,1979,771,1987,21.867670999999998,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Thailand,1953,762,1987,6.698009999999998,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Vietnam,2033,783,1987,3.065,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Canada,1540,595,1988,91.758,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Mexico,1818,692,1988,8.060742055589229,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
usa,1996,776,1988,1656.6158860215064,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Argentina,1474,569,1988,1.586,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Brazil,1527,589,1988,4.714659868406148,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Germany,1608,614,1988,310.385,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Italy,1727,663,1988,33.897,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
Netherlands,1855,714,1988,22.255,terawatt_hours,elec_gen_from_coal,Elec Gen from Coal
