country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1985,6.808,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Mexico,1818,692,1985,7.212592538903575,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
usa,1996,776,1985,313.92039247311834,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Argentina,1474,569,1985,12.463813785714283,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Brazil,1527,589,1985,0,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Germany,1608,614,1985,27.985,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Italy,1727,663,1985,24.712,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Netherlands,1855,714,1985,38.213,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Poland,1872,726,1985,0.081,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Spain,1628,624,1985,2.514,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Turkey,1975,769,1985,0.0582,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Ukraine,1993,774,1985,48.95859888055376,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
United Kingdom,1654,635,1985,2.896,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Kazakhstan,1733,667,1985,8.685688517880845,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Russian Federation,1896,736,1985,451.2671824940134,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Iran,1716,659,1985,13.736637351591275,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Saudi Arabia,1898,738,1985,29.752546977976916,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
United Arab Emirates,1465,568,1985,11.555,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Egypt,1620,621,1985,9.2365,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
South Africa,2052,788,1985,0,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Australia,1482,573,1985,11.501,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
China,1549,599,1985,0.972,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
India,1713,657,1985,2.158,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Indonesia,1711,656,1985,1.8146852087662935,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Japan,1732,666,1985,128.0431622188738,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Malaysia,1844,706,1985,2.194,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
South Korea,1758,673,1985,0,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Taiwan,1979,771,1985,0,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Thailand,1953,762,1985,10.666,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Vietnam,2033,783,1985,0.072,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Canada,1540,595,1986,6.886,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Mexico,1818,692,1986,7.651961461296257,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
usa,1996,776,1986,267.21336881720435,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Argentina,1474,569,1986,13.270744079192548,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Brazil,1527,589,1986,0,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Germany,1608,614,1986,29.811,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Italy,1727,663,1986,26.871,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
Netherlands,1855,714,1986,41.502,terawatt_hours,elec_gen_from_gas,Elec Gen from Gas
