country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1985,6.777,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Mexico,1818,692,1985,55.06230701945224,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
usa,1996,776,1985,107.7443795698925,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Argentina,1474,569,1985,5.706,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Brazil,1527,589,1985,3.9141619962503382,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Germany,1608,614,1985,9.595,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Italy,1727,663,1985,76.174,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Netherlands,1855,714,1985,3.258,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Poland,1872,726,1985,1.68,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Spain,1628,624,1985,7.747,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Turkey,1975,769,1985,7.082,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Ukraine,1993,774,1985,47.115622499033186,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
United Kingdom,1654,635,1985,48.307,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Kazakhstan,1733,667,1985,8.298834148568357,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Russian Federation,1896,736,1985,113.33705410224914,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Iran,1716,659,1985,19.191362648408724,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Saudi Arabia,1898,738,1985,21.90145565263607,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
United Arab Emirates,1465,568,1985,0.445,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Egypt,1620,621,1985,11.869,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
South Africa,2052,788,1985,0.042,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Australia,1482,573,1985,4.667,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
China,1549,599,1985,56.685,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
India,1713,657,1985,11.868,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Indonesia,1711,656,1985,6.575808787901353,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Japan,1732,666,1985,183.86023293395294,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Malaysia,1844,706,1985,9.017,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
South Korea,1758,673,1985,19.964,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Taiwan,1979,771,1985,5.240305,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Thailand,1953,762,1985,3.3519122,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Vietnam,2033,783,1985,1.216,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Canada,1540,595,1986,6.166,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
Mexico,1818,692,1986,60.88913174330298,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
usa,1996,776,1986,146.86544838709688,terawatt_hours,elec_gen_from_oil,Elec Gen from Oil
