country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1985,0.07900000000003615,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Mexico,1818,692,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
usa,1996,776,1985,0.34385913978553617,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Argentina,1474,569,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Brazil,1527,589,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Germany,1608,614,1985,14.366226261999998,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Italy,1727,663,1985,3.5045734000000266,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Netherlands,1855,714,1985,2.3320891999999986,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Poland,1872,726,1985,2.1810000000000116,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Spain,1628,624,1985,1.7459999999999951,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Turkey,1975,769,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Ukraine,1993,774,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
United Kingdom,1654,635,1985,4.660746098989904,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Kazakhstan,1733,667,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Russian Federation,1896,736,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Iran,1716,659,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Saudi Arabia,1898,738,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
United Arab Emirates,1465,568,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Egypt,1620,621,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
South Africa,2052,788,1985,2.1070000000000277,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Australia,1482,573,1985,3.734489400000001,terawatt_hours,elec_gen_from_other,Elec Gen from Other
China,1549,599,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
India,1713,657,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Indonesia,1711,656,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Japan,1732,666,1985,5.5639999999999645,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Malaysia,1844,706,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
South Korea,1758,673,1985,0.47411400000000725,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Taiwan,1979,771,1985,1.6761189999999964,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Thailand,1953,762,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Vietnam,2033,783,1985,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Canada,1540,595,1986,0.06600000000004513,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Mexico,1818,692,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
usa,1996,776,1986,0.3684053763454358,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Argentina,1474,569,1986,0.01899999999999835,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Brazil,1527,589,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Germany,1608,614,1986,14.11314724400006,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Italy,1727,663,1986,3.6157492000000104,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Netherlands,1855,714,1986,2.3038924000000023,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Poland,1872,726,1986,2.3940000000000055,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Spain,1628,624,1986,0.9220000000000113,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Turkey,1975,769,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Ukraine,1993,774,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
United Kingdom,1654,635,1986,2.875311898989878,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Kazakhstan,1733,667,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Russian Federation,1896,736,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Iran,1716,659,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Saudi Arabia,1898,738,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
United Arab Emirates,1465,568,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Egypt,1620,621,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
South Africa,2052,788,1986,1.785000000000025,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Australia,1482,573,1986,4.899201199999979,terawatt_hours,elec_gen_from_other,Elec Gen from Other
China,1549,599,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
India,1713,657,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Indonesia,1711,656,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Japan,1732,666,1986,5.921000000000049,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Malaysia,1844,706,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
South Korea,1758,673,1986,0.9095010000000059,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Taiwan,1979,771,1986,2.0279220000000002,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Thailand,1953,762,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Vietnam,2033,783,1986,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Canada,1540,595,1987,0.08599999999999852,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Mexico,1818,692,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
usa,1996,776,1987,0.37308655913943767,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Argentina,1474,569,1987,0.07599999999999696,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Brazil,1527,589,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Germany,1608,614,1987,13.657345106000037,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Italy,1727,663,1987,3.2936434000000077,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Netherlands,1855,714,1987,2.2918023999999946,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Poland,1872,726,1987,2.5249999999999773,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Spain,1628,624,1987,0.7840000000000131,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Turkey,1975,769,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Ukraine,1993,774,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
United Kingdom,1654,635,1987,1.9542806000000041,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Kazakhstan,1733,667,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Russian Federation,1896,736,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Iran,1716,659,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Saudi Arabia,1898,738,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
United Arab Emirates,1465,568,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Egypt,1620,621,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
South Africa,2052,788,1987,1.774000000000001,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Australia,1482,573,1987,4.595203999999995,terawatt_hours,elec_gen_from_other,Elec Gen from Other
China,1549,599,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
India,1713,657,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Indonesia,1711,656,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Japan,1732,666,1987,6.736000000000047,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Malaysia,1844,706,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
South Korea,1758,673,1987,1.378824999999999,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Taiwan,1979,771,1987,2.403293999999999,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Thailand,1953,762,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Vietnam,2033,783,1987,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Canada,1540,595,1988,0.12199999999998568,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Mexico,1818,692,1988,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
usa,1996,776,1988,0.3969129032257115,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Argentina,1474,569,1988,0.2540000000000049,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Brazil,1527,589,1988,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Germany,1608,614,1988,15.597801995999873,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Italy,1727,663,1988,3.0790000000000077,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Netherlands,1855,714,1988,2.647059200000008,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Poland,1872,726,1988,2.5239999999999725,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Spain,1628,624,1988,0.9870000000000161,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Turkey,1975,769,1988,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
Ukraine,1993,774,1988,0,terawatt_hours,elec_gen_from_other,Elec Gen from Other
