country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1985,459.0164002,terawatt_hours,electricity_generation,Electricity Generation 
Mexico,1818,692,1985,96.20753203374971,terawatt_hours,electricity_generation,Electricity Generation 
usa,1996,776,1985,2657.1500711257113,terawatt_hours,electricity_generation,Electricity Generation 
Argentina,1474,569,1985,45.30372799999999,terawatt_hours,electricity_generation,Electricity Generation 
Brazil,1527,589,1985,193.68223389625032,terawatt_hours,electricity_generation,Electricity Generation 
Chile,1548,598,1985,14.04,terawatt_hours,electricity_generation,Electricity Generation 
Colombia,1590,605,1985,29.374664236296862,terawatt_hours,electricity_generation,Electricity Generation 
Ecuador,1619,620,1985,4.558,terawatt_hours,electricity_generation,Electricity Generation 
Peru,1866,722,1985,12.111,terawatt_hours,electricity_generation,Electricity Generation 
Trinidad & Tobago,2183,767,1985,3.023,terawatt_hours,electricity_generation,Electricity Generation 
Venezuela,2016,780,1985,47.29,terawatt_hours,electricity_generation,Electricity Generation 
Austria,1484,574,1985,44.535,terawatt_hours,electricity_generation,Electricity Generation 
Belgium,1487,577,1985,57.322,terawatt_hours,electricity_generation,Electricity Generation 
Bulgaria,1500,581,1985,41.632,terawatt_hours,electricity_generation,Electricity Generation 
Cyprus,1603,612,1985,1.319,terawatt_hours,electricity_generation,Electricity Generation 
Czech Republic,1604,613,1985,58.121,terawatt_hours,electricity_generation,Electricity Generation 
Denmark,1614,617,1985,29.143044444444445,terawatt_hours,electricity_generation,Electricity Generation 
Estonia,1629,625,1985,17.827,terawatt_hours,electricity_generation,Electricity Generation 
Finland,1631,627,1985,49.394,terawatt_hours,electricity_generation,Electricity Generation 
France,1640,630,1985,343.482849021,terawatt_hours,electricity_generation,Electricity Generation 
Germany,1608,614,1985,522.534,terawatt_hours,electricity_generation,Electricity Generation 
Greece,1681,644,1985,27.74,terawatt_hours,electricity_generation,Electricity Generation 
Hungary,1710,655,1985,26.794,terawatt_hours,electricity_generation,Electricity Generation 
Iceland,1725,661,1985,3.83741,terawatt_hours,electricity_generation,Electricity Generation 
Ireland,1714,658,1985,12.088,terawatt_hours,electricity_generation,Electricity Generation 
Italy,1727,663,1985,185.74,terawatt_hours,electricity_generation,Electricity Generation 
Latvia,1793,685,1985,4.961,terawatt_hours,electricity_generation,Electricity Generation 
Lithuania,1791,683,1985,20.962,terawatt_hours,electricity_generation,Electricity Generation 
Luxembourg,1792,684,1985,0.939045,terawatt_hours,electricity_generation,Electricity Generation 
Netherlands,1855,714,1985,62.975,terawatt_hours,electricity_generation,Electricity Generation 
Norway,1858,715,1985,103.292,terawatt_hours,electricity_generation,Electricity Generation 
Poland,1872,726,1985,137.714,terawatt_hours,electricity_generation,Electricity Generation 
Portugal,1880,729,1985,18.9,terawatt_hours,electricity_generation,Electricity Generation 
Romania,1893,735,1985,71.818,terawatt_hours,electricity_generation,Electricity Generation 
Slovakia,1937,753,1985,22.506,terawatt_hours,electricity_generation,Electricity Generation 
Spain,1628,624,1985,126.5619468,terawatt_hours,electricity_generation,Electricity Generation 
Sweden,1940,755,1985,137.14,terawatt_hours,electricity_generation,Electricity Generation 
Switzerland,1546,597,1985,56.33812333864965,terawatt_hours,electricity_generation,Electricity Generation 
Turkey,1975,769,1985,34.218900000000005,terawatt_hours,electricity_generation,Electricity Generation 
Ukraine,1993,774,1985,272,terawatt_hours,electricity_generation,Electricity Generation 
United Kingdom,1654,635,1985,298.089,terawatt_hours,electricity_generation,Electricity Generation 
Azerbaijan,1485,575,1985,20.702,terawatt_hours,electricity_generation,Electricity Generation 
Belarus,1520,585,1985,33.175,terawatt_hours,electricity_generation,Electricity Generation 
Kazakhstan,1733,667,1985,81.263,terawatt_hours,electricity_generation,Electricity Generation 
Russian Federation,1896,736,1985,962,terawatt_hours,electricity_generation,Electricity Generation 
Turkmenistan,1956,764,1985,10.987,terawatt_hours,electricity_generation,Electricity Generation 
Uzbekistan,1999,777,1985,47.939,terawatt_hours,electricity_generation,Electricity Generation 
Iran,1716,659,1985,38.915,terawatt_hours,electricity_generation,Electricity Generation 
