country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1965,21.6684225,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Mexico,1818,692,1965,8.064688600387212,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
usa,1996,776,1965,415.92061015914646,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Argentina,1474,569,1965,4.123400000000001,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Brazil,1527,589,1965,0.051342153075221234,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Chile,1548,598,1965,0.61778,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Colombia,1590,605,1965,0.8951250000000001,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Ecuador,1619,620,1965,0,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Peru,1866,722,1965,0.36575,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Trinidad & Tobago,2183,767,1965,1.223476,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Venezuela,2016,780,1965,7.518030000000001,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Austria,1484,574,1965,1.7528646900209426,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Belgium,1487,577,1965,0.07349999999999988,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Bulgaria,1500,581,1965,0.056272499999999996,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Croatia,1708,653,1965,0,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Cyprus,1603,612,1965,0,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Czech Republic,1604,613,1965,0.4290499999999993,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Denmark,1614,617,1965,0,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Estonia,1629,625,1965,0,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Finland,1631,627,1965,0,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
France,1640,630,1965,5.004699521,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Germany,1608,614,1965,3.0975673611847254,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Greece,1681,644,1965,0,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Hungary,1710,655,1965,1.359724999999998,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Iceland,1725,661,1965,0,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Ireland,1714,658,1965,0,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Italy,1727,663,1965,7.374699999999988,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Latvia,1793,685,1965,0,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Lithuania,1791,683,1965,0,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
Luxembourg,1792,684,1965,0,billion_cubic_metres,gas_consumption_bcm,Gas Consumption - Bcm
