country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1965,18.631489681857264,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Mexico,1818,692,1965,6.934384007211704,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
usa,1996,776,1965,357.6273518135395,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Argentina,1474,569,1965,3.545485812553741,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Brazil,1527,589,1965,0.044146305309734506,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Chile,1548,598,1965,0.531195184866724,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Colombia,1590,605,1965,0.7696689595872743,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Ecuador,1619,620,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Peru,1866,722,1965,0.3144883920894239,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Trinidad & Tobago,2183,767,1965,1.052,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Venezuela,2016,780,1965,6.464342218400689,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Austria,1484,574,1965,1.5071923387970272,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Belgium,1487,577,1965,0.06319862424763532,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Bulgaria,1500,581,1965,0.04838564058469475,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Croatia,1708,653,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Cyprus,1603,612,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Czech Republic,1604,613,1965,0.3689165950128971,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Denmark,1614,617,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Estonia,1629,625,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Finland,1631,627,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
France,1640,630,1965,4.303267,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Germany,1608,614,1965,2.663428513486436,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Greece,1681,644,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Hungary,1710,655,1965,1.1691530524505571,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Iceland,1725,661,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Ireland,1714,658,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Italy,1727,663,1965,6.341100601891649,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Latvia,1793,685,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Lithuania,1791,683,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Luxembourg,1792,684,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Netherlands,1855,714,1965,1.2897678417884784,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
North Macedonia,2491,694,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Norway,1858,715,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Poland,1872,726,1965,1.4730868443680114,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Portugal,1880,729,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Romania,1893,735,1965,12.079988843508168,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Slovakia,1937,753,1965,0.2566895958727429,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Slovenia,1939,754,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Spain,1628,624,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Sweden,1940,755,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Switzerland,1546,597,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Turkey,1975,769,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Ukraine,1993,774,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
United Kingdom,1654,635,1965,0.739,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
USSR,2265,736,1965,104.62237934171644,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Iran,1716,659,1965,0.6718210607616371,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Iraq,1724,660,1965,0.406792777300086,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Israel,1726,662,1965,0.06331896010705074,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Kuwait,1771,674,1965,1.4842218400687877,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Oman,1863,719,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Qatar,1890,733,1965,0.07208512467755805,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Saudi Arabia,1898,738,1965,0.5162510748065349,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
United Arab Emirates,1465,568,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Algeria,1618,619,1965,0.6389079965606191,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Egypt,1620,621,1965,0.0405524505588994,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Morocco,1805,687,1965,0.04181642304385211,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
South Africa,2052,788,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Australia,1482,573,1965,0.002534393809114359,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Bangladesh,1498,580,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
China,1549,599,1965,0.9532699060088554,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
China Hong Kong SAR,2189,651,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
India,1713,657,1965,0.20400000000000001,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Indonesia,1711,656,1965,0.43637145313843506,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Japan,1732,666,1965,1.5702063628546836,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Malaysia,1844,706,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
New Zealand,1861,718,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Pakistan,1864,720,1965,1.270090283748925,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Philippines,1867,723,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Singapore,1902,741,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
South Korea,1758,673,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Sri Lanka,1785,681,1965,0,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
Taiwan,1979,771,1965,0.1983813413585555,million_tonnes_oil_equivalent,gas_consumption_mtoe,Gas Consumption - Mtoe
