country_name,id,owid_country,year,value,unit,category,sheet
usa,1996,776,2000,1.6988425954861108,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Peru,1866,722,2000,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Trinidad & Tobago,2183,767,2000,4.0176306608952705,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Russia,1895,736,2000,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Norway,1858,715,2000,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Algeria,1618,619,2000,26.016581741596642,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Angola,1454,563,2000,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Egypt,1620,621,2000,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Nigeria,1851,711,2000,6.056833709449366,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Oman,1863,719,2000,2.585005277469136,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Qatar,1890,733,2000,14.474260111708862,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
United Arab Emirates,1465,568,2000,7.513580781215547,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Yemen,2048,787,2000,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Australia,1482,573,2000,10.256303999085366,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Brunei,1530,591,2000,8.908157401219514,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Indonesia,1711,656,2000,36.62561701872342,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Malaysia,1844,706,2000,21.4870988290625,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Papua New Guinea,1870,725,2000,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
usa,1996,776,2001,1.75067709375,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Peru,1866,722,2001,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Trinidad & Tobago,2183,767,2001,3.820455,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Russia,1895,736,2001,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Norway,1858,715,2001,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Algeria,1618,619,2001,26.37577807090336,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Angola,1454,563,2001,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Egypt,1620,621,2001,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Nigeria,1851,711,2001,7.718897558278481,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Oman,1863,719,2001,7.747405282098765,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Qatar,1890,733,2001,17.473122127531646,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
United Arab Emirates,1465,568,2001,7.699464143396884,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Yemen,2048,787,2001,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Australia,1482,573,2001,10.406762246189027,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Brunei,1530,591,2001,9.108686425609758,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Indonesia,1711,656,2001,32.5850434625532,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Malaysia,1844,706,2001,21.343489668750003,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
Papua New Guinea,1870,725,2001,0,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
usa,1996,776,2002,1.77939,billion_cubic_metres,gas_lng_exports,Gas - LNG exports
