country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Mexico,1818,692,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
usa,1996,776,2000,6.531408,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Argentina,1474,569,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Brazil,1527,589,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Chile,1548,598,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Belgium,1487,577,2000,4.39614,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
France,1640,630,2000,11.73788159863004,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Italy,1727,663,2000,3.6720698524159663,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Spain,1628,624,2000,8.865549,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Turkey,1975,769,2000,3.8727899999999997,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
United Kingdom,1654,635,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Egypt,1620,621,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Kuwait,1771,674,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
United Arab Emirates,1465,568,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
China,1549,599,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
India,1713,657,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Japan,1732,666,2000,73.96912401397044,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Malaysia,1844,706,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Pakistan,1864,720,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Singapore,1902,741,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
South Korea,1758,673,2000,20.599056,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Taiwan,1979,771,2000,6.17553,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Thailand,1953,762,2000,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Canada,1540,595,2001,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
Mexico,1818,692,2001,0,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
usa,1996,776,2001,6.897753000000001,billion_cubic_metres,gas_lng_imports,Gas - LNG imports
