country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1970,5.226209642497807,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Mexico,1818,692,1970,1.0672098010429985,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
usa,1996,776,1970,55.29040597518757,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Argentina,1474,569,1970,0.5664326731438125,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Bolivia,1525,588,1970,0.004050833666558795,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Brazil,1527,589,1970,0.007846747613688126,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Colombia,1590,605,1970,0.12087531695981578,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Peru,1866,722,1970,0.03846032812357775,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Trinidad & Tobago,2183,767,1970,0.17190572987271516,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Venezuela,2016,780,1970,0.8280175695465947,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Denmark,1614,617,1970,0,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Germany,1608,614,1970,1.1622853627001306,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Italy,1727,663,1970,1.2172964153408983,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Netherlands,1855,714,1970,2.7010072893721473,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Norway,1858,715,1970,0,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Poland,1872,726,1970,0.4953074916417328,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Romania,1893,735,1970,2.1036756781905415,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
Ukraine,1993,774,1970,0,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
United Kingdom,1654,635,1970,1.0594055269625295,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
USSR,2265,736,1970,18.141227875272385,billion_cubic_feet_per_day,gas_production_bcf,Gas Production - Bcf
