country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1970,54.016275,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Mexico,1818,692,1970,11.030307247353806,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
usa,1996,776,1970,571.4622983608389,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Argentina,1474,569,1970,5.854450000000001,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Bolivia,1525,588,1970,0.04186800000000001,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Brazil,1527,589,1970,0.08110123893805307,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Colombia,1590,605,1970,1.2493250000000002,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Peru,1866,722,1970,0.39751250000000005,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Trinidad & Tobago,2183,767,1970,1.7767575000000002,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Venezuela,2016,780,1970,8.558100000000001,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Denmark,1614,617,1970,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Germany,1608,614,1970,12.012974999999981,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Italy,1727,663,1970,12.58154999999998,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Netherlands,1855,714,1970,27.916666666666675,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Norway,1858,715,1970,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Poland,1872,726,1970,5.119324999999992,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Romania,1893,735,1970,21.742856050000004,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Ukraine,1993,774,1970,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
United Kingdom,1654,635,1970,10.949645000000002,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
USSR,2265,736,1970,187.5013864311874,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Bahrain,1501,582,1970,0.6501170000000001,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Iran,1716,659,1970,3.4954538397015122,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Iraq,1724,660,1970,0.741,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Kuwait,1771,674,1970,1.93515,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Oman,1863,719,1970,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Qatar,1890,733,1970,1.0401750000000003,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Saudi Arabia,1898,738,1970,1.5361500000000001,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Syria,1944,758,1970,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
United Arab Emirates,1465,568,1970,0.812175,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Yemen,2048,787,1970,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Algeria,1618,619,1970,2.4380125,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Egypt,1620,621,1970,0.08181250000000001,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Libya,1778,678,1970,0.2793,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Nigeria,1851,711,1970,0.10545,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Australia,1482,573,1970,1.730397462,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Bangladesh,1498,580,1970,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Brunei,1530,591,1970,0.213525,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
China,1549,599,1970,2.892576204523107,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
India,1713,657,1970,0.6328466202712502,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Indonesia,1711,656,1970,1.2789000000000001,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Malaysia,1844,706,1970,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Myanmar,1829,697,1970,0.0073687499999999994,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Pakistan,1864,720,1970,2.9103924999999995,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Thailand,1953,762,1970,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Vietnam,2033,783,1970,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Canada,1540,595,1971,59.055,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Mexico,1818,692,1971,10.918173073650928,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
usa,1996,776,1971,587.6605972425101,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Argentina,1474,569,1971,6.326598750000001,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Bolivia,1525,588,1971,0.04186800000000001,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Brazil,1527,589,1971,0.12874821681415927,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Colombia,1590,605,1971,1.3004499999999979,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Peru,1866,722,1971,0.4745125,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Trinidad & Tobago,2183,767,1971,1.8634999999999973,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Venezuela,2016,780,1971,8.293920000000002,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Denmark,1614,617,1971,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Germany,1608,614,1971,14.799724999999977,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Italy,1727,663,1971,12.82019999999998,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Netherlands,1855,714,1971,38.58333333333334,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Norway,1858,715,1971,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Poland,1872,726,1971,5.279024999999992,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Romania,1893,735,1971,23.236145675000003,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Ukraine,1993,774,1971,0,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
United Kingdom,1654,635,1971,18.196298000000002,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
USSR,2265,736,1971,201.19373804836798,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Bahrain,1501,582,1971,0.947845,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
Iran,1716,659,1971,8.454399723326722,billion_cubic_metres,gas_production_bcm,Gas Production - Bcm
