country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1980,2.37363,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Mexico,1818,692,1980,1.80873,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
usa,1996,776,1980,5.396132772186373,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Argentina,1474,569,1980,0.6233725000000001,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Bolivia,1525,588,1980,0.12014250000000001,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Brazil,1527,589,1980,0.0546429735,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Colombia,1590,605,1980,0.11742500000000002,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Peru,1866,722,1980,0.0308,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Trinidad & Tobago,2183,767,1980,0.28883250000000005,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Venezuela,2016,780,1980,1.4012751000000003,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Denmark,1614,617,1980,0.085485,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Germany,1608,614,1980,0.23299542000000004,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Italy,1727,663,1980,0.15351599999999996,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Netherlands,1855,714,1980,1.98961388,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Norway,1858,715,1980,0.38509000000000004,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Poland,1872,726,1980,0.0767,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Romania,1893,735,1980,0.279555,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
United Kingdom,1654,635,1980,0.7353049999999999,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
USSR,2265,736,1980,20.469295466937123,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Bahrain,1501,582,1980,0.5696856248283336,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Iran,1716,659,1980,13.3183945,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Iraq,1724,660,1980,0.7385300000000001,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Israel,1726,662,1980,0.00288,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Kuwait,1771,674,1980,1.0012999999999999,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Oman,1863,719,1980,0.07634250000000002,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Qatar,1890,733,1980,2.8980000000000006,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Saudi Arabia,1898,738,1980,3.0240685000000003,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Syria,1944,758,1980,0.084825,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
United Arab Emirates,1465,568,1980,2.31075,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Yemen,2048,787,1980,0,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Algeria,1618,619,1980,3.5814625,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Egypt,1620,621,1980,0.08085,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Libya,1778,678,1980,0.65075,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Nigeria,1851,711,1980,1.103083,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Australia,1482,573,1980,0.141336,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Bangladesh,1498,580,1980,0.27527500000000005,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Brunei,1530,591,1980,0.201825,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
China,1549,599,1980,0.7083284169124877,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
India,1713,657,1980,0.33013750000000003,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Indonesia,1711,656,1980,0.8343299999999999,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
Malaysia,1844,706,1980,1.13571452176875,trillion_cubic_metres,gas_proved_reserves_history,Gas - Proved reserves history 
