country_name,id,owid_country,year,value,unit,category,sheet
Mexico,1818,692,1990,743,megawatts,geothermal_capacity,Geothermal Capacity
usa,1996,776,1990,2913.5,megawatts,geothermal_capacity,Geothermal Capacity
Chile,1548,598,1990,0,megawatts,geothermal_capacity,Geothermal Capacity
Costa Rica,1594,608,1990,0,megawatts,geothermal_capacity,Geothermal Capacity
El Salvador,1912,745,1990,95,megawatts,geothermal_capacity,Geothermal Capacity
Guadeloupe,1666,640,1990,0,megawatts,geothermal_capacity,Geothermal Capacity
Guatemala,1686,647,1990,0,megawatts,geothermal_capacity,Geothermal Capacity
Honduras,1706,652,1990,0,megawatts,geothermal_capacity,Geothermal Capacity
Nicaragua,1852,712,1990,35,megawatts,geothermal_capacity,Geothermal Capacity
Austria,1484,574,1990,0,megawatts,geothermal_capacity,Geothermal Capacity
France,1640,630,1990,4.2,megawatts,geothermal_capacity,Geothermal Capacity
Germany,1608,614,1990,0,megawatts,geothermal_capacity,Geothermal Capacity
Hungary,1710,655,1990,0,megawatts,geothermal_capacity,Geothermal Capacity
Iceland,1725,661,1990,44.800000000000004,megawatts,geothermal_capacity,Geothermal Capacity
Italy,1727,663,1990,545,megawatts,geothermal_capacity,Geothermal Capacity
Portugal,1880,729,1990,3,megawatts,geothermal_capacity,Geothermal Capacity
Turkey,1975,769,1990,20.6,megawatts,geothermal_capacity,Geothermal Capacity
Russian Federation,1896,736,1990,11,megawatts,geothermal_capacity,Geothermal Capacity
Ethiopia,1630,626,1990,0,megawatts,geothermal_capacity,Geothermal Capacity
Kenya,1735,668,1990,45,megawatts,geothermal_capacity,Geothermal Capacity
China,1549,599,1990,29.3,megawatts,geothermal_capacity,Geothermal Capacity
Indonesia,1711,656,1990,144.8,megawatts,geothermal_capacity,Geothermal Capacity
Japan,1732,666,1990,214.6,megawatts,geothermal_capacity,Geothermal Capacity
New Zealand,1861,718,1990,261,megawatts,geothermal_capacity,Geothermal Capacity
Philippines,1867,723,1990,888,megawatts,geothermal_capacity,Geothermal Capacity
Papua New Guinea,1870,725,1990,0,megawatts,geothermal_capacity,Geothermal Capacity
Mexico,1818,692,1995,743,megawatts,geothermal_capacity,Geothermal Capacity
usa,1996,776,1995,3170.96,megawatts,geothermal_capacity,Geothermal Capacity
Chile,1548,598,1995,0,megawatts,geothermal_capacity,Geothermal Capacity
Costa Rica,1594,608,1995,55,megawatts,geothermal_capacity,Geothermal Capacity
El Salvador,1912,745,1995,105,megawatts,geothermal_capacity,Geothermal Capacity
Guadeloupe,1666,640,1995,0,megawatts,geothermal_capacity,Geothermal Capacity
Guatemala,1686,647,1995,0,megawatts,geothermal_capacity,Geothermal Capacity
Honduras,1706,652,1995,0,megawatts,geothermal_capacity,Geothermal Capacity
Nicaragua,1852,712,1995,70,megawatts,geothermal_capacity,Geothermal Capacity
Austria,1484,574,1995,0,megawatts,geothermal_capacity,Geothermal Capacity
France,1640,630,1995,4.2,megawatts,geothermal_capacity,Geothermal Capacity
Germany,1608,614,1995,0,megawatts,geothermal_capacity,Geothermal Capacity
Hungary,1710,655,1995,0,megawatts,geothermal_capacity,Geothermal Capacity
Iceland,1725,661,1995,49.6,megawatts,geothermal_capacity,Geothermal Capacity
Italy,1727,663,1995,631.7,megawatts,geothermal_capacity,Geothermal Capacity
Portugal,1880,729,1995,5,megawatts,geothermal_capacity,Geothermal Capacity
Turkey,1975,769,1995,20.4,megawatts,geothermal_capacity,Geothermal Capacity
Russian Federation,1896,736,1995,11,megawatts,geothermal_capacity,Geothermal Capacity
Ethiopia,1630,626,1995,0,megawatts,geothermal_capacity,Geothermal Capacity
Kenya,1735,668,1995,45,megawatts,geothermal_capacity,Geothermal Capacity
China,1549,599,1995,26.3,megawatts,geothermal_capacity,Geothermal Capacity
Indonesia,1711,656,1995,309.8,megawatts,geothermal_capacity,Geothermal Capacity
Japan,1732,666,1995,413.7,megawatts,geothermal_capacity,Geothermal Capacity
New Zealand,1861,718,1995,265,megawatts,geothermal_capacity,Geothermal Capacity
Philippines,1867,723,1995,1154,megawatts,geothermal_capacity,Geothermal Capacity
Papua New Guinea,1870,725,1995,0,megawatts,geothermal_capacity,Geothermal Capacity
Mexico,1818,692,2000,855,megawatts,geothermal_capacity,Geothermal Capacity
usa,1996,776,2000,2942,megawatts,geothermal_capacity,Geothermal Capacity
Chile,1548,598,2000,0,megawatts,geothermal_capacity,Geothermal Capacity
Costa Rica,1594,608,2000,145,megawatts,geothermal_capacity,Geothermal Capacity
El Salvador,1912,745,2000,161.2,megawatts,geothermal_capacity,Geothermal Capacity
Guadeloupe,1666,640,2000,4,megawatts,geothermal_capacity,Geothermal Capacity
Guatemala,1686,647,2000,29,megawatts,geothermal_capacity,Geothermal Capacity
Honduras,1706,652,2000,0,megawatts,geothermal_capacity,Geothermal Capacity
Nicaragua,1852,712,2000,21,megawatts,geothermal_capacity,Geothermal Capacity
Austria,1484,574,2000,0,megawatts,geothermal_capacity,Geothermal Capacity
France,1640,630,2000,0,megawatts,geothermal_capacity,Geothermal Capacity
Germany,1608,614,2000,0,megawatts,geothermal_capacity,Geothermal Capacity
Hungary,1710,655,2000,0,megawatts,geothermal_capacity,Geothermal Capacity
Iceland,1725,661,2000,172,megawatts,geothermal_capacity,Geothermal Capacity
Italy,1727,663,2000,590,megawatts,geothermal_capacity,Geothermal Capacity
Portugal,1880,729,2000,14,megawatts,geothermal_capacity,Geothermal Capacity
Turkey,1975,769,2000,18,megawatts,geothermal_capacity,Geothermal Capacity
Russian Federation,1896,736,2000,23,megawatts,geothermal_capacity,Geothermal Capacity
Ethiopia,1630,626,2000,7.3,megawatts,geothermal_capacity,Geothermal Capacity
Kenya,1735,668,2000,58,megawatts,geothermal_capacity,Geothermal Capacity
China,1549,599,2000,21.7,megawatts,geothermal_capacity,Geothermal Capacity
Indonesia,1711,656,2000,525,megawatts,geothermal_capacity,Geothermal Capacity
Japan,1732,666,2000,533,megawatts,geothermal_capacity,Geothermal Capacity
New Zealand,1861,718,2000,418,megawatts,geothermal_capacity,Geothermal Capacity
Philippines,1867,723,2000,1846.5,megawatts,geothermal_capacity,Geothermal Capacity
Papua New Guinea,1870,725,2000,0,megawatts,geothermal_capacity,Geothermal Capacity
Mexico,1818,692,2001,838,megawatts,geothermal_capacity,Geothermal Capacity
usa,1996,776,2001,3003,megawatts,geothermal_capacity,Geothermal Capacity
Chile,1548,598,2001,0,megawatts,geothermal_capacity,Geothermal Capacity
Costa Rica,1594,608,2001,145,megawatts,geothermal_capacity,Geothermal Capacity
El Salvador,1912,745,2001,161.2,megawatts,geothermal_capacity,Geothermal Capacity
Guadeloupe,1666,640,2001,4,megawatts,geothermal_capacity,Geothermal Capacity
Guatemala,1686,647,2001,29,megawatts,geothermal_capacity,Geothermal Capacity
Honduras,1706,652,2001,0,megawatts,geothermal_capacity,Geothermal Capacity
Nicaragua,1852,712,2001,26,megawatts,geothermal_capacity,Geothermal Capacity
Austria,1484,574,2001,0,megawatts,geothermal_capacity,Geothermal Capacity
France,1640,630,2001,0,megawatts,geothermal_capacity,Geothermal Capacity
Germany,1608,614,2001,0,megawatts,geothermal_capacity,Geothermal Capacity
Hungary,1710,655,2001,0,megawatts,geothermal_capacity,Geothermal Capacity
Iceland,1725,661,2001,202,megawatts,geothermal_capacity,Geothermal Capacity
Italy,1727,663,2001,573,megawatts,geothermal_capacity,Geothermal Capacity
Portugal,1880,729,2001,14,megawatts,geothermal_capacity,Geothermal Capacity
Turkey,1975,769,2001,18,megawatts,geothermal_capacity,Geothermal Capacity
Russian Federation,1896,736,2001,21,megawatts,geothermal_capacity,Geothermal Capacity
Ethiopia,1630,626,2001,7.3,megawatts,geothermal_capacity,Geothermal Capacity
Kenya,1735,668,2001,58,megawatts,geothermal_capacity,Geothermal Capacity
China,1549,599,2001,21.7,megawatts,geothermal_capacity,Geothermal Capacity
Indonesia,1711,656,2001,785,megawatts,geothermal_capacity,Geothermal Capacity
Japan,1732,666,2001,533,megawatts,geothermal_capacity,Geothermal Capacity
New Zealand,1861,718,2001,417,megawatts,geothermal_capacity,Geothermal Capacity
Philippines,1867,723,2001,1846.5,megawatts,geothermal_capacity,Geothermal Capacity
Papua New Guinea,1870,725,2001,0,megawatts,geothermal_capacity,Geothermal Capacity
Mexico,1818,692,2002,843,megawatts,geothermal_capacity,Geothermal Capacity
usa,1996,776,2002,3029,megawatts,geothermal_capacity,Geothermal Capacity
Chile,1548,598,2002,0,megawatts,geothermal_capacity,Geothermal Capacity
Costa Rica,1594,608,2002,144.7,megawatts,geothermal_capacity,Geothermal Capacity
El Salvador,1912,745,2002,161.2,megawatts,geothermal_capacity,Geothermal Capacity
Guadeloupe,1666,640,2002,4,megawatts,geothermal_capacity,Geothermal Capacity
Guatemala,1686,647,2002,29,megawatts,geothermal_capacity,Geothermal Capacity
Honduras,1706,652,2002,0,megawatts,geothermal_capacity,Geothermal Capacity
Nicaragua,1852,712,2002,77.5,megawatts,geothermal_capacity,Geothermal Capacity
Austria,1484,574,2002,2,megawatts,geothermal_capacity,Geothermal Capacity
France,1640,630,2002,0,megawatts,geothermal_capacity,Geothermal Capacity
Germany,1608,614,2002,0,megawatts,geothermal_capacity,Geothermal Capacity
Hungary,1710,655,2002,0,megawatts,geothermal_capacity,Geothermal Capacity
Iceland,1725,661,2002,202,megawatts,geothermal_capacity,Geothermal Capacity
Italy,1727,663,2002,666,megawatts,geothermal_capacity,Geothermal Capacity
Portugal,1880,729,2002,14,megawatts,geothermal_capacity,Geothermal Capacity
Turkey,1975,769,2002,18,megawatts,geothermal_capacity,Geothermal Capacity
Russian Federation,1896,736,2002,70,megawatts,geothermal_capacity,Geothermal Capacity
Ethiopia,1630,626,2002,7.3,megawatts,geothermal_capacity,Geothermal Capacity
Kenya,1735,668,2002,58,megawatts,geothermal_capacity,Geothermal Capacity
China,1549,599,2002,21.7,megawatts,geothermal_capacity,Geothermal Capacity
Indonesia,1711,656,2002,785,megawatts,geothermal_capacity,Geothermal Capacity
Japan,1732,666,2002,533,megawatts,geothermal_capacity,Geothermal Capacity
New Zealand,1861,718,2002,373,megawatts,geothermal_capacity,Geothermal Capacity
Philippines,1867,723,2002,1846.5,megawatts,geothermal_capacity,Geothermal Capacity
Papua New Guinea,1870,725,2002,0,megawatts,geothermal_capacity,Geothermal Capacity
Mexico,1818,692,2003,960,megawatts,geothermal_capacity,Geothermal Capacity
usa,1996,776,2003,3036,megawatts,geothermal_capacity,Geothermal Capacity
Chile,1548,598,2003,0,megawatts,geothermal_capacity,Geothermal Capacity
Costa Rica,1594,608,2003,162.7,megawatts,geothermal_capacity,Geothermal Capacity
El Salvador,1912,745,2003,161.2,megawatts,geothermal_capacity,Geothermal Capacity
Guadeloupe,1666,640,2003,4,megawatts,geothermal_capacity,Geothermal Capacity
Guatemala,1686,647,2003,29,megawatts,geothermal_capacity,Geothermal Capacity
Honduras,1706,652,2003,0,megawatts,geothermal_capacity,Geothermal Capacity
Nicaragua,1852,712,2003,77.5,megawatts,geothermal_capacity,Geothermal Capacity
Austria,1484,574,2003,2,megawatts,geothermal_capacity,Geothermal Capacity
France,1640,630,2003,0,megawatts,geothermal_capacity,Geothermal Capacity
Germany,1608,614,2003,0,megawatts,geothermal_capacity,Geothermal Capacity
Hungary,1710,655,2003,0,megawatts,geothermal_capacity,Geothermal Capacity
Iceland,1725,661,2003,202,megawatts,geothermal_capacity,Geothermal Capacity
Italy,1727,663,2003,707,megawatts,geothermal_capacity,Geothermal Capacity
Portugal,1880,729,2003,14,megawatts,geothermal_capacity,Geothermal Capacity
Turkey,1975,769,2003,15,megawatts,geothermal_capacity,Geothermal Capacity
Russian Federation,1896,736,2003,70,megawatts,geothermal_capacity,Geothermal Capacity
Ethiopia,1630,626,2003,7.3,megawatts,geothermal_capacity,Geothermal Capacity
Kenya,1735,668,2003,58,megawatts,geothermal_capacity,Geothermal Capacity
China,1549,599,2003,21.7,megawatts,geothermal_capacity,Geothermal Capacity
Indonesia,1711,656,2003,805,megawatts,geothermal_capacity,Geothermal Capacity
