country_name,id,owid_country,year,value,unit,category,sheet
Brazil,1527,589,1995,33.59,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Canada,1540,595,1995,25,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
China,1549,599,1995,204,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
India,1713,657,1995,136.263,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Madagascar,1812,690,1995,16.119,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Mexico,1818,692,1995,34.386,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Mozambique,1834,700,1995,3.019,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Russian Federation,1896,736,1995,13.7,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Sri Lanka,1785,681,1995,4.825,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Ukraine,1993,774,1995,8.757,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Zimbabwe,2056,790,1995,11.381,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Rest of the World,1449,560,1995,96.327,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Brazil,1527,589,1996,40.466,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Canada,1540,595,1996,25,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
China,1549,599,1996,185,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
India,1713,657,1996,117.761,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Madagascar,1812,690,1996,12.134,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Mexico,1818,692,1996,40.412,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Mozambique,1834,700,1996,3.283,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Russian Federation,1896,736,1996,13.928,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Sri Lanka,1785,681,1996,5.645,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Ukraine,1993,774,1996,5.367,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Zimbabwe,2056,790,1996,7.691,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Rest of the World,1449,560,1996,108.048,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Brazil,1527,589,1997,41.444,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Canada,1540,595,1997,25,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
China,1549,599,1997,310,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
India,1713,657,1997,111.518,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Madagascar,1812,690,1997,14.107,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Mexico,1818,692,1997,47.981,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Mozambique,1834,700,1997,5.125,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Russian Federation,1896,736,1997,14.275,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Sri Lanka,1785,681,1997,5.4,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Ukraine,1993,774,1997,4.289,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Zimbabwe,2056,790,1997,12.779,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Rest of the World,1449,560,1997,106.03,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Brazil,1527,589,1998,61.369,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Canada,1540,595,1998,25,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
China,1549,599,1998,224,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
India,1713,657,1998,135.668,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Madagascar,1812,690,1998,20.629,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Mexico,1818,692,1998,43.461,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Mozambique,1834,700,1998,5.889,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Russian Federation,1896,736,1998,6,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Sri Lanka,1785,681,1998,5.91,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
Ukraine,1993,774,1998,5.104,thousand_tonnes,graphite_production_reserves,Graphite Production-Reserves
