country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1965,26.502,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Mexico,1818,692,1965,2.005,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
usa,1996,776,1965,45.022873208712376,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Argentina,1474,569,1965,0.274,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Brazil,1527,589,1965,5.425,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Chile,1548,598,1965,0.895,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Colombia,1590,605,1965,0.8019073778932828,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Ecuador,1619,620,1965,0.078,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Peru,1866,722,1965,0.595,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Trinidad & Tobago,2183,767,1965,0,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Venezuela,2016,780,1965,0.316,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Austria,1484,574,1965,3.63918178938316,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Belgium,1487,577,1965,0.06154681630990608,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Bulgaria,1500,581,1965,0.453,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Cyprus,1603,612,1965,0,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Czech Republic,1604,613,1965,0.505,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Denmark,1614,617,1965,0.005,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Finland,1631,627,1965,2.116471772986207,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
France,1640,630,1965,10.608021948680816,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Germany,1608,614,1965,3.6684186088609323,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Greece,1681,644,1965,0.188,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Hungary,1710,655,1965,0.016,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Iceland,1725,661,1965,0.1449744309182232,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Ireland,1714,658,1965,0.21315789473684202,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Italy,1727,663,1965,9.647010906457853,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Luxembourg,1792,684,1965,0.01955288048151327,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Netherlands,1855,714,1965,0,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Norway,1858,715,1965,11.17,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Poland,1872,726,1965,0.20427433588269903,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
Portugal,1880,729,1965,0.8994433633524878,million_tonnes_oil_equivalent,hydro_consumption_mtoe,Hydro Consumption - Mtoe
