country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1965,117.1229388,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Mexico,1818,692,1965,8.860897,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
usa,1996,776,1965,198.9740858585836,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Argentina,1474,569,1965,1.2109156,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Brazil,1527,589,1965,23.975245,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Chile,1548,598,1965,3.955363,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Colombia,1590,605,1965,3.543949465861588,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Ecuador,1619,620,1965,0.3447132,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Peru,1866,722,1965,2.629543,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Trinidad & Tobago,2183,767,1965,0,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Venezuela,2016,780,1965,1.3965304,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Austria,1484,574,1965,16.083,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Belgium,1487,577,1965,0.272,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Bulgaria,1500,581,1965,2.0019882,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Cyprus,1603,612,1965,0,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Czech Republic,1604,613,1965,2.231797,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Denmark,1614,617,1965,0.022097,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Finland,1631,627,1965,9.353535353535257,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
France,1640,630,1965,46.881092200000005,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Germany,1608,614,1965,16.2122092,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Greece,1681,644,1965,0.8308472,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Hungary,1710,655,1965,0.0707104,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Iceland,1725,661,1965,0.6406999999999982,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Ireland,1714,658,1965,0.9420299999999996,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Italy,1727,663,1965,42.634,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Luxembourg,1792,684,1965,0.08641200000000004,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Netherlands,1855,714,1965,0,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Norway,1858,715,1965,49.364698,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Poland,1872,726,1965,0.9027699999999989,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Portugal,1880,729,1965,3.975,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
Romania,1893,735,1965,0.9987844,terawatt_hours,hydro_generation_t_wh,Hydro Generation - TWh
