country_name,id,owid_country,year,value,unit,category,sheet
Argentina,1474,569,1995,0.008,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Australia,1482,573,1995,2.2334814453125,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Brazil,1527,589,1995,0.032,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Chile,1548,598,1995,2,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
China,1549,599,1995,0.32,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Portugal,1880,729,1995,0.16,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
usa,1996,776,1995,3.5,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Zimbabwe,2056,790,1995,0.52,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Rest of the World,1449,560,1995,0.712,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Argentina,1474,569,1996,0.008,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Australia,1482,573,1996,3.8821357421875,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Brazil,1527,589,1996,0.032,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Chile,1548,598,1996,2.66366772460937,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
China,1549,599,1996,2.8,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Portugal,1880,729,1996,0.16,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
usa,1996,776,1996,4,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Zimbabwe,2056,790,1996,0.5,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Rest of the World,1449,560,1996,0.738,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Argentina,1474,569,1997,0.008,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Australia,1482,573,1997,1.57660632324219,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Brazil,1527,589,1997,0.032,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Chile,1548,598,1997,4.55453369140625,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
China,1549,599,1997,2.9,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Portugal,1880,729,1997,0.18,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
usa,1996,776,1997,4,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Zimbabwe,2056,790,1997,0.7,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Rest of the World,1449,560,1997,1.64,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Argentina,1474,569,1998,1.13,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Australia,1482,573,1998,1.1799951171875,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Brazil,1527,589,1998,0.032,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Chile,1548,598,1998,5.46264892578125,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
China,1549,599,1998,3,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Portugal,1880,729,1998,0.16,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
usa,1996,776,1998,1.5,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Zimbabwe,2056,790,1998,1,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Rest of the World,1449,560,1998,0.728,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
Argentina,1474,569,1999,0.2,thousand_tonnes_of_lithium_content,lithium_production_reserves,Lithium Production-Reserves
