country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1965,53.83500000000001,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Mexico,1818,692,1965,14.842952329360783,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
usa,1996,776,1965,551.3363601406732,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Argentina,1474,569,1965,22.04967587935079,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Brazil,1527,589,1965,14.842999999999998,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Chile,1548,598,1965,3.494882404074329,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Colombia,1590,605,1965,3.839958877034605,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Ecuador,1619,620,1965,0.6610000000000001,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Peru,1866,722,1965,3.753289551650299,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Trinidad & Tobago,2183,767,1965,1.901159506235679,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Venezuela,2016,780,1965,9.555840083954967,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Austria,1484,574,1965,5.561,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Belgium,1487,577,1965,15.94,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Bulgaria,1500,581,1965,3.702,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Cyprus,1603,612,1965,0.3940000000000001,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Czech Republic,1604,613,1965,3.9970000000000003,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Denmark,1614,617,1965,10.405,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Finland,1631,627,1965,5.720999999999999,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
France,1640,630,1965,53.887,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Germany,1608,614,1965,86.274,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Greece,1681,644,1965,4.4350000000000005,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Hungary,1710,655,1965,3.7760000000000002,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Iceland,1725,661,1965,0.46900000000000003,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Ireland,1714,658,1965,2.424,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Italy,1727,663,1965,52.290000000000006,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Luxembourg,1792,684,1965,0.8310000000000001,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Netherlands,1855,714,1965,25.285999999999998,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Norway,1858,715,1965,5.105,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Poland,1872,726,1965,5.409,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Portugal,1880,729,1965,2.569,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Romania,1893,735,1965,7.147,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Slovakia,1937,753,1965,2.298,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
Spain,1628,624,1965,14.209000000000001,million_tonnes,oil_consumption_tonnes,Oil Consumption - Tonnes
