country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1965,920,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Mexico,1818,692,1965,362,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
usa,1996,776,1965,9014.148000000001,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Argentina,1474,569,1965,275.6739726027397,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Brazil,1527,589,1965,96,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Colombia,1590,605,1965,203,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Ecuador,1619,620,1965,8,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Peru,1866,722,1965,66,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Trinidad & Tobago,2183,767,1965,135,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Venezuela,2016,780,1965,3503,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Italy,1727,663,1965,47.76627397260273,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Romania,1893,735,1965,265.77591780821916,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
United Kingdom,1654,635,1965,1.7398356164383564,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
USSR,2265,736,1965,4857.759999999999,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Iran,1716,659,1965,1908,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Iraq,1724,660,1965,1313,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Kuwait,1771,674,1965,2371,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Qatar,1890,733,1965,233,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Saudi Arabia,1898,738,1965,2219.3,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
United Arab Emirates,1465,568,1965,282.2,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Algeria,1618,619,1965,569.9438356164384,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Angola,1454,563,1965,13.297397260273973,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Congo (Republic of),2343,603,1965,1.3772054794520547,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Egypt,1620,621,1965,126.01041095890412,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Gabon,1653,634,1965,25.334657534246578,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Libya,1778,678,1965,1220,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Nigeria,1851,711,1965,274.2,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Australia,1482,573,1965,7,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Brunei,1530,591,1965,80,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
China,1549,599,1965,227.12958904109593,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
India,1713,657,1965,62.34427397260275,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Indonesia,1711,656,1965,486,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Malaysia,1844,706,1965,1,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Canada,1540,595,1966,1012,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Mexico,1818,692,1966,370,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
usa,1996,776,1966,9579.241,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Argentina,1474,569,1966,292.8641095890411,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Brazil,1527,589,1966,117,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Colombia,1590,605,1966,199,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Ecuador,1619,620,1966,7,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Peru,1866,722,1966,66,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Trinidad & Tobago,2183,767,1966,153,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Venezuela,2016,780,1966,3402,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Italy,1727,663,1966,39.07699178082191,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Romania,1893,735,1966,271.00205479452063,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
United Kingdom,1654,635,1966,1.6155616438356164,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
USSR,2265,736,1966,5302,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Iran,1716,659,1966,2132,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Iraq,1724,660,1966,1392,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Kuwait,1771,674,1966,2505,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Qatar,1890,733,1966,291,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Saudi Arabia,1898,738,1966,2617.8,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
United Arab Emirates,1465,568,1966,360,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Algeria,1618,619,1966,733.5931506849315,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Angola,1454,563,1966,12.810164383561643,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Congo (Republic of),2343,603,1966,1.2026301369863015,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Egypt,1620,621,1966,121.7115068493151,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Gabon,1653,634,1966,28.979643835616443,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Libya,1778,678,1966,1508,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Nigeria,1851,711,1966,417.6,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Tunisia,1974,768,1966,16.243808219178085,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Australia,1482,573,1966,9,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Brunei,1530,591,1966,96,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
China,1549,599,1966,292.19589041095895,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
India,1713,657,1966,95.86824657534248,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Indonesia,1711,656,1966,474,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Malaysia,1844,706,1966,1,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Canada,1540,595,1967,1106,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Mexico,1818,692,1967,411,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
usa,1996,776,1967,10219.252,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Argentina,1474,569,1967,318.6312328767123,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Brazil,1527,589,1967,147,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Colombia,1590,605,1967,192,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Ecuador,1619,620,1967,6,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Peru,1866,722,1967,74,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Trinidad & Tobago,2183,767,1967,179,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Venezuela,2016,780,1967,3576,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
Italy,1727,663,1967,36.55973698630137,thousand_barrels_daily,oil_production_barrels,Oil Production - Barrels
