country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,2000,2015.4220594995272,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Mexico,1818,692,2000,3011.965097562842,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
usa,1996,776,2000,5821.604,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Argentina,1474,569,2000,775.8685274862071,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Brazil,1527,589,2000,1235,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Colombia,1590,605,2000,687,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Ecuador,1619,620,2000,400,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Peru,1866,722,2000,95.33172131147542,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Trinidad & Tobago,2183,767,2000,119.10651912568306,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Venezuela,2016,780,2000,2936.479762568306,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Denmark,1614,617,2000,363,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Italy,1727,663,2000,94.90613387978142,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Norway,1858,715,2000,3206.9841626066127,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Romania,1893,735,2000,123.97655737704918,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
United Kingdom,1654,635,2000,2493.925854494288,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Azerbaijan,1485,575,2000,281.18497267759557,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Kazakhstan,1733,667,2000,740.2079234972678,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Russian Federation,1896,736,2000,6472.930504098362,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
Turkmenistan,1956,764,2000,139.21857923497268,thousand_barrels_daily,oil_production_crude_conds,Oil Production - Crude Conds
