country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1980,1892.981441469096,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Mexico,1818,692,1980,1017.1877049180329,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
usa,1996,776,1980,13481,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Argentina,1474,569,1980,481.17644808743165,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Brazil,1527,589,1980,1085.4563557460483,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Chile,1548,598,1980,96.33142076502733,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Colombia,1590,605,1980,153.257,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Ecuador,1619,620,1980,93.343,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Netherlands Antilles,1458,567,1980,564.2898360655737,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Peru,1866,722,1980,145.33827868852458,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Trinidad & Tobago,2183,767,1980,231.2354644808743,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Venezuela,2016,780,1980,925.294,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Austria,1484,574,1980,194.99640510928964,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Belgium,1487,577,1980,671,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Bulgaria,1500,581,1980,238.32513661,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Czech Republic,1604,613,1980,194,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Denmark,1614,617,1980,129,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Finland,1631,627,1980,250.21798150273227,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
France,1640,630,1980,2226.2372318121907,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Germany,1608,614,1980,2423,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Greece,1681,644,1980,285.7498290369429,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Hungary,1710,655,1980,196,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Ireland,1714,658,1980,41,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Italy,1727,663,1980,1836.5054033623367,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Netherlands,1855,714,1980,1011.9806010928962,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Norway,1858,715,1980,143.19535519125682,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Poland,1872,726,1980,324,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Portugal,1880,729,1980,143,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Romania,1893,735,1980,548.74863388000006,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Slovakia,1937,753,1980,194.78573434339847,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Spain,1628,624,1980,981.7593715846995,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Sweden,1940,755,1980,344,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Switzerland,1546,597,1980,89,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Turkey,1975,769,1980,256,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
United Kingdom,1654,635,1980,1624.9768852459022,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
USSR,2265,736,1980,9388.8087432,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Bahrain,1501,582,1980,240.32786885245906,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Iran,1716,659,1980,684.8944088670074,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Iraq,1724,660,1980,184.65191256830602,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Israel,1726,662,1980,131.11887978142076,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Kuwait,1771,674,1980,342.60740437158466,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Oman,1863,719,1980,0,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Qatar,1890,733,1980,7.610382513661202,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Saudi Arabia,1898,738,1980,610.2124863387978,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
United Arab Emirates,1465,568,1980,11.796092896174864,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Algeria,1618,619,1980,226.30874316939895,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Egypt,1620,621,1980,277.0579781420765,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
Morocco,1805,687,1980,84.41516393442623,thousand_barrels_daily,oil_refinery_throughput,Oil - Refinery throughput
