country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1965,1089.143628405066,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Mexico,1818,692,1965,417,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
usa,1996,776,1965,10390,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Argentina,1474,569,1965,402.325,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Brazil,1527,589,1965,346.655,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Chile,1548,598,1965,79.42,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Colombia,1590,605,1965,95,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Ecuador,1619,620,1965,18.05,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Netherlands Antilles,1458,567,1965,703,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Peru,1866,722,1965,60.04,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Trinidad & Tobago,2183,767,1965,341,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Venezuela,2016,780,1965,1120,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Austria,1484,574,1965,80,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Belgium,1487,577,1965,335,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Bulgaria,1500,581,1965,54,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Czech Republic,1604,613,1965,24,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Denmark,1614,617,1965,53.08125,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Finland,1631,627,1965,60,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
France,1640,630,1965,1411,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Germany,1608,614,1965,1747,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Greece,1681,644,1965,37,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Hungary,1710,655,1965,90,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Ireland,1714,658,1965,45.6,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Italy,1727,663,1965,1560,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Netherlands,1855,714,1965,614,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Norway,1858,715,1965,60,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Poland,1872,726,1965,86,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Portugal,1880,729,1965,24,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Romania,1893,735,1965,241,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Slovakia,1937,753,1965,68,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Spain,1628,624,1965,311,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
Sweden,1940,755,1965,98,thousand_barrels_daily,oil_refining_capacity,Oil - Refining capacity
