country_name,id,owid_country,year,value,unit,category,sheet
Australia,1482,573,1995,0.11,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Brazil,1527,589,1995,0.103,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,1995,48,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,1995,5,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,1995,0.448,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,1995,1.74,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Thailand,1953,762,1995,0,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
usa,1996,776,1995,22.2,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Rest of the World,1449,560,1995,0.14,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,1996,55,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,1996,5,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,1996,0.33999999999999997,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,1996,1.74,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Thailand,1953,762,1996,0,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
usa,1996,776,1996,20.4,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Rest of the World,1449,560,1996,0.12999999999999998,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,1997,53,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,1997,5,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,1997,0.418,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,1997,1.74,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Thailand,1953,762,1997,0.012,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
usa,1996,776,1997,10,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Rest of the World,1449,560,1997,0.12,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,1998,60,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,1998,3.1999999999999997,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,1998,0.282,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,1998,1.74,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
usa,1996,776,1998,5,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Rest of the World,1449,560,1998,0.12,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,1999,69.99999999999999,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,1999,1.698,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,1999,0.625,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,1999,2.61,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Rest of the World,1449,560,1999,0.12,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,2000,73,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,2000,1.89,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,2000,0.446,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,2000,2.61,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Brazil,1527,589,2001,0,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,2001,80.6,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,2001,2.651,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,2001,0.351,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,2001,3.5316201171875,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Brazil,1527,589,2002,0,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,2002,88,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,2002,2.856,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,2002,0.24,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,2002,2.5801298828125,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Brazil,1527,589,2003,0,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,2003,92,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,2003,2.891,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,2003,0.36,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,2003,1.7225999755859374,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Brazil,1527,589,2004,0.40199999999999997,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,2004,97.99999999999999,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,2004,0.149,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,2004,0.7999999999999999,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,2004,2.246919921875,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Brazil,1527,589,2005,0.527,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,2005,119,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,2005,0.093,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,2005,0.15,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,2005,2.15643994140625,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Brazil,1527,589,2006,0.527,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,2006,133,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,2006,0.045,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,2006,0.43,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,2006,2.9349999999999996,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Australia,1482,573,2007,0,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Brazil,1527,589,2007,0.6449999999999999,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,2007,120,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,2007,0.034999999999999996,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,2007,0.37999999999999995,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,2007,2.711,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Australia,1482,573,2008,0,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Brazil,1527,589,2008,0.45999999999999996,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
China,1549,599,2008,125,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
India,1713,657,2008,0.022,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Malaysia,1844,706,2008,0.12,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Russian Federation,1896,736,2008,2.4699999999999998,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
usa,1996,776,2008,0,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
Australia,1482,573,2009,0,thousand_tonnes1,rare_earth_production_reserves,Rare Earth Production-Reserves
