country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Mexico,1818,692,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
usa,1996,776,1965,13.33223209565275,terawatt_hours,renewables_t_wh,Renewables - TWh
Argentina,1474,569,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Brazil,1527,589,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Chile,1548,598,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Colombia,1590,605,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Ecuador,1619,620,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Peru,1866,722,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Trinidad & Tobago,2183,767,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Venezuela,2016,780,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Austria,1484,574,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Belgium,1487,577,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Bulgaria,1500,581,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Cyprus,1603,612,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Czech Republic,1604,613,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Denmark,1614,617,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Finland,1631,627,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
France,1640,630,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Germany,1608,614,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Greece,1681,644,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Hungary,1710,655,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Iceland,1725,661,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Ireland,1714,658,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Italy,1727,663,1965,2.676,terawatt_hours,renewables_t_wh,Renewables - TWh
Luxembourg,1792,684,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Netherlands,1855,714,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Norway,1858,715,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Poland,1872,726,1965,0.026,terawatt_hours,renewables_t_wh,Renewables - TWh
Portugal,1880,729,1965,0.207,terawatt_hours,renewables_t_wh,Renewables - TWh
Romania,1893,735,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Slovakia,1937,753,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Spain,1628,624,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Sweden,1940,755,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Switzerland,1546,597,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Turkey,1975,769,1965,0.1,terawatt_hours,renewables_t_wh,Renewables - TWh
Ukraine,1993,774,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
United Kingdom,1654,635,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
USSR,2265,736,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Iran,1716,659,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Iraq,1724,660,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
Israel,1726,662,1965,0,terawatt_hours,renewables_t_wh,Renewables - TWh
