country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1996,3,megawatts,solar_capacity,Solar Capacity
Mexico,1818,692,1996,10,megawatts,solar_capacity,Solar Capacity
usa,1996,776,1996,13.9,megawatts,solar_capacity,Solar Capacity
Brazil,1527,589,1996,0,megawatts,solar_capacity,Solar Capacity
Chile,1548,598,1996,0,megawatts,solar_capacity,Solar Capacity
Honduras,1706,652,1996,0,megawatts,solar_capacity,Solar Capacity
Austria,1484,574,1996,1.7,megawatts,solar_capacity,Solar Capacity
Belgium,1487,577,1996,0,megawatts,solar_capacity,Solar Capacity
Bulgaria,1500,581,1996,0,megawatts,solar_capacity,Solar Capacity
Czech Republic,1604,613,1996,0,megawatts,solar_capacity,Solar Capacity
Denmark,1614,617,1996,0,megawatts,solar_capacity,Solar Capacity
Finland,1631,627,1996,0,megawatts,solar_capacity,Solar Capacity
France,1640,630,1996,4,megawatts,solar_capacity,Solar Capacity
Germany,1608,614,1996,28,megawatts,solar_capacity,Solar Capacity
Greece,1681,644,1996,0,megawatts,solar_capacity,Solar Capacity
Hungary,1710,655,1996,0,megawatts,solar_capacity,Solar Capacity
Italy,1727,663,1996,16,megawatts,solar_capacity,Solar Capacity
Netherlands,1855,714,1996,0.7,megawatts,solar_capacity,Solar Capacity
Norway,1858,715,1996,4.9,megawatts,solar_capacity,Solar Capacity
Portugal,1880,729,1996,0.4,megawatts,solar_capacity,Solar Capacity
Romania,1893,735,1996,0,megawatts,solar_capacity,Solar Capacity
Slovakia,1937,753,1996,0,megawatts,solar_capacity,Solar Capacity
Spain,1628,624,1996,1,megawatts,solar_capacity,Solar Capacity
Sweden,1940,755,1996,2,megawatts,solar_capacity,Solar Capacity
Switzerland,1546,597,1996,8,megawatts,solar_capacity,Solar Capacity
Turkey,1975,769,1996,0,megawatts,solar_capacity,Solar Capacity
Ukraine,1993,774,1996,0,megawatts,solar_capacity,Solar Capacity
United Kingdom,1654,635,1996,0.2,megawatts,solar_capacity,Solar Capacity
Russian Federation,1896,736,1996,0,megawatts,solar_capacity,Solar Capacity
Israel,1726,662,1996,0,megawatts,solar_capacity,Solar Capacity
Jordan,1730,665,1996,0,megawatts,solar_capacity,Solar Capacity
United Arab Emirates,1465,568,1996,0,megawatts,solar_capacity,Solar Capacity
Algeria,1618,619,1996,0,megawatts,solar_capacity,Solar Capacity
South Africa,2052,788,1996,0,megawatts,solar_capacity,Solar Capacity
Australia,1482,573,1996,16,megawatts,solar_capacity,Solar Capacity
China,1549,599,1996,1,megawatts,solar_capacity,Solar Capacity
India,1713,657,1996,0,megawatts,solar_capacity,Solar Capacity
Japan,1732,666,1996,60,megawatts,solar_capacity,Solar Capacity
Malaysia,1844,706,1996,0,megawatts,solar_capacity,Solar Capacity
Pakistan,1864,720,1996,0,megawatts,solar_capacity,Solar Capacity
Philippines,1867,723,1996,0,megawatts,solar_capacity,Solar Capacity
South Korea,1758,673,1996,0,megawatts,solar_capacity,Solar Capacity
Taiwan,1979,771,1996,0,megawatts,solar_capacity,Solar Capacity
Thailand,1953,762,1996,0,megawatts,solar_capacity,Solar Capacity
Canada,1540,595,1997,3,megawatts,solar_capacity,Solar Capacity
Mexico,1818,692,1997,11,megawatts,solar_capacity,Solar Capacity
usa,1996,776,1997,14.6,megawatts,solar_capacity,Solar Capacity
Brazil,1527,589,1997,0,megawatts,solar_capacity,Solar Capacity
Chile,1548,598,1997,0,megawatts,solar_capacity,Solar Capacity
Honduras,1706,652,1997,0,megawatts,solar_capacity,Solar Capacity
Austria,1484,574,1997,2.2,megawatts,solar_capacity,Solar Capacity
Belgium,1487,577,1997,0,megawatts,solar_capacity,Solar Capacity
Bulgaria,1500,581,1997,0,megawatts,solar_capacity,Solar Capacity
Czech Republic,1604,613,1997,0,megawatts,solar_capacity,Solar Capacity
Denmark,1614,617,1997,0,megawatts,solar_capacity,Solar Capacity
Finland,1631,627,1997,0,megawatts,solar_capacity,Solar Capacity
