country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1997,26,megawatts,wind_capacity,Wind Capacity
Mexico,1818,692,1997,2,megawatts,wind_capacity,Wind Capacity
usa,1996,776,1997,1611,megawatts,wind_capacity,Wind Capacity
Argentina,1474,569,1997,9,megawatts,wind_capacity,Wind Capacity
Brazil,1527,589,1997,4,megawatts,wind_capacity,Wind Capacity
Chile,1548,598,1997,0,megawatts,wind_capacity,Wind Capacity
Costa Rica,1594,608,1997,23,megawatts,wind_capacity,Wind Capacity
Uruguay,1994,775,1997,0,megawatts,wind_capacity,Wind Capacity
Austria,1484,574,1997,20,megawatts,wind_capacity,Wind Capacity
Belgium,1487,577,1997,9,megawatts,wind_capacity,Wind Capacity
Bulgaria,1500,581,1997,0,megawatts,wind_capacity,Wind Capacity
Denmark,1614,617,1997,1116,megawatts,wind_capacity,Wind Capacity
Finland,1631,627,1997,12,megawatts,wind_capacity,Wind Capacity
France,1640,630,1997,13,megawatts,wind_capacity,Wind Capacity
Germany,1608,614,1997,2089,megawatts,wind_capacity,Wind Capacity
Greece,1681,644,1997,29,megawatts,wind_capacity,Wind Capacity
Hungary,1710,655,1997,0,megawatts,wind_capacity,Wind Capacity
Ireland,1714,658,1997,53,megawatts,wind_capacity,Wind Capacity
Italy,1727,663,1997,103,megawatts,wind_capacity,Wind Capacity
Netherlands,1855,714,1997,329,megawatts,wind_capacity,Wind Capacity
Norway,1858,715,1997,5,megawatts,wind_capacity,Wind Capacity
Poland,1872,726,1997,2,megawatts,wind_capacity,Wind Capacity
Portugal,1880,729,1997,39,megawatts,wind_capacity,Wind Capacity
Romania,1893,735,1997,0,megawatts,wind_capacity,Wind Capacity
Spain,1628,624,1997,512,megawatts,wind_capacity,Wind Capacity
Sweden,1940,755,1997,122,megawatts,wind_capacity,Wind Capacity
Turkey,1975,769,1997,9,megawatts,wind_capacity,Wind Capacity
United Kingdom,1654,635,1997,328,megawatts,wind_capacity,Wind Capacity
Canada,1540,595,1998,83,megawatts,wind_capacity,Wind Capacity
Mexico,1818,692,1998,2,megawatts,wind_capacity,Wind Capacity
usa,1996,776,1998,2141,megawatts,wind_capacity,Wind Capacity
Argentina,1474,569,1998,14,megawatts,wind_capacity,Wind Capacity
Brazil,1527,589,1998,19,megawatts,wind_capacity,Wind Capacity
Chile,1548,598,1998,0,megawatts,wind_capacity,Wind Capacity
Costa Rica,1594,608,1998,27,megawatts,wind_capacity,Wind Capacity
Uruguay,1994,775,1998,0,megawatts,wind_capacity,Wind Capacity
Austria,1484,574,1998,30,megawatts,wind_capacity,Wind Capacity
Belgium,1487,577,1998,10,megawatts,wind_capacity,Wind Capacity
Bulgaria,1500,581,1998,0,megawatts,wind_capacity,Wind Capacity
Denmark,1614,617,1998,1420,megawatts,wind_capacity,Wind Capacity
Finland,1631,627,1998,18,megawatts,wind_capacity,Wind Capacity
France,1640,630,1998,21,megawatts,wind_capacity,Wind Capacity
Germany,1608,614,1998,2877,megawatts,wind_capacity,Wind Capacity
Greece,1681,644,1998,38.1,megawatts,wind_capacity,Wind Capacity
Hungary,1710,655,1998,0,megawatts,wind_capacity,Wind Capacity
Ireland,1714,658,1998,64,megawatts,wind_capacity,Wind Capacity
Italy,1727,663,1998,197,megawatts,wind_capacity,Wind Capacity
Netherlands,1855,714,1998,379,megawatts,wind_capacity,Wind Capacity
Norway,1858,715,1998,8,megawatts,wind_capacity,Wind Capacity
Poland,1872,726,1998,2,megawatts,wind_capacity,Wind Capacity
Portugal,1880,729,1998,51,megawatts,wind_capacity,Wind Capacity
Romania,1893,735,1998,0,megawatts,wind_capacity,Wind Capacity
Spain,1628,624,1998,723,megawatts,wind_capacity,Wind Capacity
Sweden,1940,755,1998,176,megawatts,wind_capacity,Wind Capacity
Turkey,1975,769,1998,9,megawatts,wind_capacity,Wind Capacity
United Kingdom,1654,635,1998,338,megawatts,wind_capacity,Wind Capacity
Canada,1540,595,1999,126,megawatts,wind_capacity,Wind Capacity
Mexico,1818,692,1999,2,megawatts,wind_capacity,Wind Capacity
usa,1996,776,1999,2445,megawatts,wind_capacity,Wind Capacity
Argentina,1474,569,1999,14,megawatts,wind_capacity,Wind Capacity
Brazil,1527,589,1999,22,megawatts,wind_capacity,Wind Capacity
Chile,1548,598,1999,0,megawatts,wind_capacity,Wind Capacity
Costa Rica,1594,608,1999,35,megawatts,wind_capacity,Wind Capacity
Uruguay,1994,775,1999,0,megawatts,wind_capacity,Wind Capacity
Austria,1484,574,1999,42,megawatts,wind_capacity,Wind Capacity
Belgium,1487,577,1999,11,megawatts,wind_capacity,Wind Capacity
Bulgaria,1500,581,1999,0,megawatts,wind_capacity,Wind Capacity
Denmark,1614,617,1999,1738,megawatts,wind_capacity,Wind Capacity
Finland,1631,627,1999,39,megawatts,wind_capacity,Wind Capacity
France,1640,630,1999,25,megawatts,wind_capacity,Wind Capacity
Germany,1608,614,1999,4435,megawatts,wind_capacity,Wind Capacity
Greece,1681,644,1999,105.8,megawatts,wind_capacity,Wind Capacity
Hungary,1710,655,1999,0,megawatts,wind_capacity,Wind Capacity
Ireland,1714,658,1999,74,megawatts,wind_capacity,Wind Capacity
Italy,1727,663,1999,277,megawatts,wind_capacity,Wind Capacity
Netherlands,1855,714,1999,433,megawatts,wind_capacity,Wind Capacity
Norway,1858,715,1999,13,megawatts,wind_capacity,Wind Capacity
Poland,1872,726,1999,2,megawatts,wind_capacity,Wind Capacity
Portugal,1880,729,1999,61,megawatts,wind_capacity,Wind Capacity
Romania,1893,735,1999,0,megawatts,wind_capacity,Wind Capacity
Spain,1628,624,1999,1408,megawatts,wind_capacity,Wind Capacity
Sweden,1940,755,1999,220,megawatts,wind_capacity,Wind Capacity
Turkey,1975,769,1999,9,megawatts,wind_capacity,Wind Capacity
United Kingdom,1654,635,1999,362,megawatts,wind_capacity,Wind Capacity
Canada,1540,595,2000,139,megawatts,wind_capacity,Wind Capacity
Mexico,1818,692,2000,17,megawatts,wind_capacity,Wind Capacity
usa,1996,776,2000,2377,megawatts,wind_capacity,Wind Capacity
Argentina,1474,569,2000,14.1,megawatts,wind_capacity,Wind Capacity
Brazil,1527,589,2000,22,megawatts,wind_capacity,Wind Capacity
Chile,1548,598,2000,0,megawatts,wind_capacity,Wind Capacity
Costa Rica,1594,608,2000,42.5,megawatts,wind_capacity,Wind Capacity
Uruguay,1994,775,2000,0,megawatts,wind_capacity,Wind Capacity
Austria,1484,574,2000,77,megawatts,wind_capacity,Wind Capacity
Belgium,1487,577,2000,14,megawatts,wind_capacity,Wind Capacity
Bulgaria,1500,581,2000,0,megawatts,wind_capacity,Wind Capacity
