country_name,id,owid_country,year,value,unit,category,sheet
Canada,1540,595,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Mexico,1818,692,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
usa,1996,776,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Argentina,1474,569,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Brazil,1527,589,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Chile,1548,598,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Colombia,1590,605,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Ecuador,1619,620,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Peru,1866,722,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Trinidad & Tobago,2183,767,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Venezuela,2016,780,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Austria,1484,574,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Belgium,1487,577,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Bulgaria,1500,581,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Cyprus,1603,612,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Czech Republic,1604,613,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Denmark,1614,617,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Finland,1631,627,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
France,1640,630,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Germany,1608,614,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Greece,1681,644,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Hungary,1710,655,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Iceland,1725,661,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Ireland,1714,658,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Italy,1727,663,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Luxembourg,1792,684,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Netherlands,1855,714,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Norway,1858,715,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Poland,1872,726,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Portugal,1880,729,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Romania,1893,735,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Slovakia,1937,753,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Spain,1628,624,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Sweden,1940,755,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Switzerland,1546,597,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
Turkey,1975,769,1965,0,terawatt_hours,wind_generation_t_wh,Wind Generation - TWh 
